IND1	IND2	IND3	IND4	IND5	IND6	IND7	IND8	IND9	IND10	IND11	IND12	IND13	IND14	IND15	IND16	IND17	IND18	IND19	IND20	IND21	IND22	IND23	IND24	IND25	IND26	IND27	IND28	IND29	IND30	IND31	IND32	IND33	IND34	IND35	IND36	IND37	IND38	IND39	IND40	
1.5473576	1.3796823	0.7703713	1.2902087	1.4372113	1.1741641	1.9707682	1.1450324	1.4389581	1.4292030	1.1444857	1.1330056	0.9680946	1.8959367	1.9437689	1.7493654	2.1457952	2.3757264	1.3663077	0.6892261	2.1545113	1.6161432	2.0178910	1.5691215	0.8550686	0.6184507	1.8440417	1.6975041	0.7267427	1.4068236	1.7699245	1.3457359	1.1838984	1.5627233	0.5433024	1.6701032	1.6336917	0.7934286	1.3017905	1.0166517	
1.3474423	0.7451420	1.6818803	1.3117316	1.5652301	0.8830887	1.7771969	2.5795571	1.3150052	1.4893446	2.5245544	1.8425270	1.6937762	1.2842298	1.3217536	1.3645855	1.5946896	1.3862811	1.3262575	2.1570846	1.2655184	1.3304840	1.6724948	0.9192172	1.5843852	1.3199289	1.6964023	1.6189568	2.3658759	1.8427110	1.8881399	1.7305912	1.2860530	1.8066438	2.2764332	1.8477208	1.5223732	1.1839391	1.3966982	1.4016797	
0.3938722	0.3724663	0.3662317	0.4519995	0.3637151	0.3298519	0.4495481	0.4158027	0.5323586	0.4509420	0.4314702	0.4374748	0.2995933	0.9185640	0.5925395	0.3711433	0.9121216	0.5962511	0.6541722	0.2935038	0.3200028	0.7325366	0.3757798	0.4569801	0.5368083	0.4590588	0.3808765	0.3582844	0.4554913	0.4060690	0.2168011	0.2898799	0.3544266	0.2669637	0.4743475	0.7540082	0.4423287	0.3750465	0.5614640	0.2168432	
0.9635975	0.7873813	0.7947905	1.0601597	0.9623375	0.9485770	0.9223843	1.0192615	1.2761528	1.0859535	1.1932014	1.0076464	0.9369470	0.7808739	1.3285831	0.9118769	1.1371415	1.0673417	0.9724054	1.1052674	1.1219509	1.1719220	1.0763118	0.6303381	1.2990225	1.0586421	0.7757309	0.9059519	1.1081570	1.0578907	1.2766773	1.1155127	1.1895034	1.0600818	0.9214730	0.8401081	0.9892864	1.2896426	0.9282828	0.8117683	
1.2965698	1.5430956	1.2052805	2.0487508	1.6415204	1.2429605	1.6850632	1.7479077	0.9952944	1.5044311	1.7640465	1.1727794	1.7432749	1.4859586	1.2623085	1.8711124	1.7301875	1.0282222	1.8400738	1.2748877	1.3513790	1.3711312	1.0531081	1.8828922	1.6553424	1.4083421	1.7176411	2.1303951	1.5546714	1.4750433	1.4915869	1.2566272	1.0117819	1.6931405	1.1761322	1.8894409	1.1549179	1.7536410	1.5124398	1.8206224	
0.9524545	1.1781590	1.0358563	1.1562265	0.9696772	0.8644878	1.1515658	1.5427559	1.0577722	0.8590249	0.8184156	1.0160987	1.1162958	1.0517808	1.2068129	0.8943570	0.7764166	0.9453775	0.8843692	1.1204302	1.0029216	0.7671318	0.8124208	1.1106686	0.8990396	1.2640306	0.9386875	1.1100899	1.1510987	0.8755397	0.6765881	1.1564366	1.0006218	0.8367765	0.8238871	0.8555187	1.2443725	1.3865605	0.9640791	0.8588417	
1.0001792	0.7797011	0.8633737	0.7205626	0.4916109	0.8904672	0.4768423	0.4380866	0.2244211	0.5408414	0.6932910	0.4926646	0.6142379	0.4440702	0.7343053	0.3688458	0.5028642	0.9132316	0.9173642	0.3901883	0.8838301	0.3240496	1.2206594	0.8062925	0.8159342	0.7352053	0.5388181	0.4733311	0.8098381	0.6910288	0.6117287	0.4835476	0.7759386	0.6452350	0.5160626	0.9031595	0.5031477	0.7053888	0.5760525	0.7471235	
1.7042949	1.3308729	1.2418552	1.7489534	1.0601150	1.2504165	1.0632896	1.1165792	1.1507426	0.9884049	1.0813258	0.9340853	1.9411182	1.4412573	1.0183089	1.1382592	1.3568424	1.3818538	1.3556416	1.1358318	1.9110163	1.1433461	1.3293539	0.8325513	1.8069883	1.5181406	2.5059862	1.6782468	1.4168856	1.7390460	1.7595225	1.5983348	1.3647063	1.4939401	0.8983424	1.0289700	1.1907362	1.3103341	1.9695834	1.3994234	
0.5964352	0.8400865	0.7582392	0.6413158	0.5615283	0.7495378	0.4438879	0.5503794	0.5017173	0.4807912	0.6106084	0.4807253	0.7846188	0.4446830	0.7177636	0.3508141	0.4956996	0.5792704	0.5267887	0.4902229	0.5987753	0.4666563	0.7065048	0.4623627	0.5868744	0.8528163	0.7387063	0.5370832	0.6186670	0.5953105	0.5469858	0.8057144	0.6736256	0.5918897	0.6146742	0.5379212	0.7802539	0.7598466	0.5031187	0.6152160	
1.5517396	1.3671969	1.7583075	1.9007507	1.7256729	1.8158000	1.7970846	1.3129930	1.2598508	1.6478068	1.4645271	1.8744633	1.5528989	1.0725649	2.0568920	1.0750621	1.4018265	1.2671516	1.2527306	1.6138834	1.4745425	1.5700145	1.7669843	1.1099915	1.5686464	1.2919128	1.9607478	1.0061800	2.0514019	1.3038359	2.0739078	1.4581940	1.2576370	1.3032199	1.2495805	1.9266179	1.5261911	1.1276192	1.1839543	2.0432905	
0.5830293	0.5899298	0.4143856	0.6057168	0.7834333	1.0893953	0.7241460	1.5704878	0.5520478	0.7420501	0.6119731	0.3604964	0.7688800	0.7756650	0.2046591	0.9025677	0.6290134	0.4178348	0.4585421	0.9208409	1.0929169	0.3138726	0.7627937	0.2265629	0.5755173	0.5584679	0.3582052	0.8139452	0.8713369	0.4370618	0.8035476	0.9505949	0.2023715	0.6027776	0.7103036	0.8331345	0.4495750	0.9124662	0.6999560	0.7597053	
0.3575205	0.5728233	0.4649373	0.5154216	0.3563217	0.3700264	0.5314652	0.5680223	0.7941740	0.6998172	0.7404365	0.5618977	0.7240892	0.8110367	0.8655534	0.5510970	0.5426699	0.5449602	0.7293930	0.3166753	0.5018618	0.6645482	0.5003176	0.4689556	0.4968333	0.3747329	0.5025503	0.5430289	0.5695598	0.5689404	0.3687934	0.4549374	0.5151285	0.6176111	0.4836044	0.7705591	0.4803128	0.5839433	0.6732867	0.3631104	
1.3184889	1.3688250	1.1467963	1.2987395	1.5284232	1.3431430	1.7084680	1.2457353	1.7312656	1.2906731	1.8737379	1.3551097	1.4299587	1.3928315	1.4006909	1.5873061	1.8619631	1.2175315	1.3421627	1.9552971	1.5632674	1.8195246	1.7769871	1.4526264	1.3141110	1.3141975	1.6805446	1.4804619	1.4052470	1.4300469	1.6854486	1.5804080	1.4263149	1.6142775	1.3814587	1.6658344	1.0764538	1.3143224	1.5641077	1.5061355	
0.5025563	1.1628679	1.2112680	1.0024557	1.0991227	1.2228026	0.8302878	0.6160309	1.2300597	0.4771366	0.4276847	1.1392704	1.1397874	0.5713263	0.8901064	1.0515095	0.7957160	1.0763181	1.0886721	0.5832094	0.6751121	0.8293744	0.9618269	0.4880851	0.5436084	0.6170686	0.7669857	0.7691903	0.8743940	0.6808435	0.7774254	1.2507720	0.5972914	0.6910222	0.5476209	1.1229851	0.6347248	0.6516610	0.5981340	0.8119384	
1.5172695	1.2959821	1.4791390	1.1691790	1.1049776	1.7838026	1.1627006	1.3280920	1.0063489	1.3444352	1.3147247	1.0099766	1.2533454	1.6704134	1.6957454	0.9843485	1.0340884	1.2825683	0.9120602	1.2140739	1.0107545	0.9792305	1.1650036	0.9216638	1.8262036	1.6498818	1.5556293	1.3923609	1.5541588	1.7067205	1.0643789	1.6565839	0.9774227	1.4483550	1.2234354	1.2677027	1.7314750	1.1770887	1.0285976	1.4298212	
1.4299471	1.5195930	1.6239319	1.0895891	1.3795875	1.3129294	1.2461699	1.3584123	1.1524597	0.9495499	1.2768578	1.5230291	1.2715716	0.9999562	1.4022825	0.9027836	1.2202358	0.7109392	1.3123223	1.0777848	1.4223324	1.5134197	1.1344967	1.1364141	1.3923120	0.9209825	1.6386789	1.1425766	1.5243065	1.0404995	1.4866448	0.9242434	1.1158307	1.2413622	1.2376538	1.0324701	1.3501008	1.3776527	1.0565782	1.4755322	
1.3173113	1.5483986	1.1948367	1.3499522	2.5343737	1.9910639	1.5828311	2.0714034	2.2143174	0.9406716	1.1207724	1.7882551	2.0304451	1.8381920	0.9903659	0.9234264	2.0860960	1.0340386	1.5210980	0.9597844	0.9925653	0.9621449	1.4549362	1.1845463	1.4145794	1.4594789	1.1826779	1.5837638	1.3548870	0.9629314	1.5453357	2.5089648	1.6529739	1.3669005	1.1051307	1.2575351	2.9653877	1.5836211	2.2943298	2.1047162	
2.3836531	1.5185876	2.0408557	2.0903290	2.4998080	2.2373772	2.4687831	3.5159075	2.0052890	2.0480722	1.8021855	1.8500924	2.5512733	2.7277733	1.0952775	1.4428963	1.5074961	2.5572015	2.9495687	2.2616299	2.0808707	2.6413942	4.0161151	1.6586151	1.5771932	1.4638852	2.4332488	2.1228214	2.1174731	2.1906501	1.9445097	1.8278568	2.3875211	3.8501312	1.9486481	2.9999267	1.4813366	2.0105666	1.7554788	2.7780130	
0.5677047	0.9616685	0.7207969	0.6367424	0.7165529	0.6983117	0.6762921	0.6593128	0.5068196	0.8364617	0.8182964	0.4714571	0.7294737	0.8678101	0.3600496	0.4993392	0.5806290	0.7687209	0.8039921	0.5644977	0.8259312	0.4776512	0.7417726	0.5787483	0.7550634	0.5629274	0.4715888	0.7353747	0.5493849	0.8107977	0.5182333	0.8015757	0.5780144	0.6440684	0.4291374	0.6333277	0.3948603	0.9859069	0.6872354	0.6879238	
0.8434397	0.3858704	0.5038117	0.5437880	0.5859834	0.4359589	0.4965488	0.3572510	0.7634953	0.4209839	0.4499816	0.9823455	0.7857135	0.5574680	0.6183280	0.7945187	0.8301824	0.6401168	0.3264818	0.4999161	0.3140559	0.9114077	0.7072454	0.4400309	0.7778026	0.7400829	0.5920615	0.7339844	0.6658722	0.4475257	0.5097377	0.7335689	0.9099840	0.3565941	0.4714667	0.3129817	0.8541737	0.4821031	0.6426967	0.4198161	
0.8395999	0.9377289	0.7055781	0.8350548	0.7700244	0.4554918	0.6403496	0.6653990	0.6313363	0.6572758	0.7588385	0.8938199	0.7804762	0.4865867	1.0178211	0.7974608	0.7390324	0.6199865	0.5281223	0.6142032	0.6012502	0.5668302	0.5170935	0.9018380	0.5346909	0.9076102	0.5067297	0.5993130	0.5118061	0.5554754	0.3863735	0.7964387	0.4413373	0.7503825	0.7352521	0.4318664	0.9514445	0.7099027	0.7706248	0.4507480	
1.3793690	1.0271700	1.1558810	1.1735841	1.3311509	0.9575952	1.3081421	1.4593403	1.4191171	1.0095653	0.9177183	1.5677450	1.6601507	1.1300221	1.4480156	0.9689874	1.0062306	1.7309988	1.5350814	1.2421464	1.2806819	1.3889252	1.0197371	0.9175878	1.1664783	1.3436388	1.5897291	1.0956786	1.2941418	1.1838047	1.2857923	0.8486450	1.6088351	1.6966132	1.7432260	1.2427624	1.1474115	1.4618407	0.8833002	1.2348552	
0.8446102	1.3618001	0.7753159	1.2615262	0.5124553	1.1150330	0.5647533	1.7757724	0.6635736	1.4985759	1.1789993	1.7532040	1.2094845	1.0029022	1.2724960	1.1234357	1.6034998	0.7418419	0.7176512	1.7712042	0.5513031	0.3832271	0.9672514	1.7665235	1.0952162	0.7016359	0.9566623	1.4674825	0.7461590	1.5844049	0.4989184	0.8775399	0.7416116	1.7495459	1.1589057	1.1023161	2.0444834	0.3385652	1.4519773	0.7544489	
0.7164451	0.6303310	0.5309764	0.5734323	0.5330310	0.6094640	0.4551828	0.6013483	0.5673001	0.6441218	0.5419831	0.5994070	0.4481032	0.5805231	0.3439031	0.4617002	0.4854166	0.7245342	0.6480931	0.3606035	0.6981297	0.6120960	0.5168514	0.5498121	0.7780305	0.6663132	0.6442084	0.4373840	0.5917109	0.3679555	0.4964424	0.5876365	0.6258693	0.5315976	0.6585727	0.5560759	0.4068849	0.5168050	0.4845017	0.6087183	
0.4945034	0.5720282	0.3180669	0.4344312	0.6207122	0.5714202	0.6643518	0.5682869	0.5535761	0.5171873	0.7153805	0.3694347	0.3586714	0.6849405	0.4032470	0.5920029	0.7120275	0.5506557	0.4074451	0.5660639	0.6109492	0.1881365	0.5205683	0.3771316	0.2653952	0.2880545	0.1698328	0.3471666	0.3406577	0.4619791	0.5598935	0.5228308	0.2907805	0.3640232	0.4036037	0.3767523	0.4245869	0.2043495	0.4070492	0.4535816	
0.9360456	1.1035729	0.7725210	1.0231422	0.9362789	1.1348699	1.1098226	0.8933286	0.7814512	1.0265425	0.9872998	1.1105922	1.1126291	0.7570363	1.0818384	0.9881639	0.9299651	1.0808911	0.7726366	0.9172273	0.7272968	0.8525132	1.0320899	1.0712853	1.0428448	0.8912633	0.9156131	0.7098170	1.0517772	1.0674650	0.8967821	1.1596958	0.8862250	0.9804401	1.1833144	1.0140662	0.8980216	0.7483201	1.0404542	1.2077884	
0.8148630	0.3731047	1.1091960	1.0861736	1.1039140	0.9225168	1.0301412	1.3043771	0.9849070	0.6403200	1.1354270	0.8575144	1.0668574	0.6546419	0.6902157	0.4997614	0.5749675	0.5006664	0.8358382	1.2917058	0.2989852	0.6759748	0.5187665	0.3202786	0.8801428	0.9777915	0.4836451	0.9423604	0.6520654	0.8609259	0.5835036	1.1716639	0.6135778	0.5094357	1.1884222	0.3010877	0.5263492	1.0272862	0.6817256	1.0574828	
0.4562933	0.6252429	0.6631855	0.7587953	1.3741407	1.3922908	0.8975767	2.2254480	1.1593998	1.2881947	0.9328409	0.9017491	1.0776009	1.1417633	0.9445499	0.8201616	1.9452813	0.3931355	0.7174559	0.8632026	0.6800794	1.1490248	0.8854218	1.2433070	1.0379295	0.7673679	1.3891372	1.2147308	0.5977122	1.9715603	1.3891744	1.0250899	0.5974665	1.0272343	0.5571833	0.7977810	1.6113019	0.7695429	1.2164551	1.4426112	
1.8231217	1.7893947	1.9772582	1.1668261	1.3705159	1.5247237	2.1153140	2.0441596	1.3992854	0.9757878	2.6805209	1.7743753	1.7150190	1.6055245	1.7151564	1.2410041	1.1876938	1.8739574	1.1902116	1.6292370	1.1372230	1.8342305	1.5568176	1.2168040	1.1503233	1.4099059	1.4703004	1.4203921	1.7355577	1.3547795	1.7820750	1.1491870	1.7953398	2.1718055	2.2283054	1.2077526	1.2845152	1.8684206	1.0960547	1.6480826	
0.7578487	0.6316037	1.1945674	0.9774323	0.4411792	0.9813408	0.7709680	1.0377621	0.7116451	0.7771800	1.0818983	0.7179777	0.3939504	0.8766203	0.9256831	0.4726427	0.5931852	0.8572652	0.5924893	0.6625159	0.5419888	0.5453456	0.7629856	1.1061883	0.9321448	0.4979518	0.7429054	0.7487430	1.0804834	1.2473200	1.0391615	0.6013732	0.6290434	0.8772098	0.9110726	1.0409705	1.0661898	0.8398649	0.5175394	1.2323667	
3.2663472	4.5276926	2.5023646	4.1861012	3.9845467	3.3502748	4.7890630	2.9263449	4.1222573	4.2938270	3.0428028	3.9817152	3.3327891	2.6036105	4.0649949	3.3619071	2.8253830	3.3330305	5.2486864	3.1632211	4.0895254	3.7409901	4.9243238	2.4224136	3.0620574	2.3523522	4.3154613	2.8767784	3.8651092	3.2904314	3.0652387	2.9949694	2.9617687	2.4245332	3.6686367	3.0365423	3.1870298	3.5882413	4.1487892	2.8019534	
1.5887445	1.0120399	1.3739240	1.0896904	1.2087737	1.2443044	1.1811832	1.5520187	0.6831786	1.6765978	1.3135277	0.9865865	1.4485076	1.0427257	0.7475930	0.9463506	0.8978904	0.9780988	1.5104421	1.2778748	1.5612131	0.9853109	1.5815006	1.1329601	1.2313521	1.1444871	1.2830259	1.6397983	1.0588155	1.1276427	0.9728833	0.8744459	1.0402401	1.7307373	0.6537789	1.1478850	0.8761632	1.0049322	0.7946527	1.4159453	
0.2069910	0.0704264	0.0905904	0.1005444	1.0833501	0.9833333	0.2231469	1.1943146	1.3894658	0.4754427	0.2306565	0.9425763	0.7782799	0.8459939	0.1273848	0.4230134	0.9119729	0.0143043	0.9137426	0.3774241	0.4705906	0.8217894	0.2668679	0.5433893	0.6008300	0.4288584	0.6490465	0.7492376	0.1975918	0.4551719	0.4599822	1.0551393	0.9758354	0.0492032	0.4439255	0.1048339	1.0390503	1.0794005	0.6113079	0.5122365	
0.8558957	0.6830822	0.8855165	0.6285345	1.1220349	0.7360841	0.8753395	0.7624878	0.7094708	1.0105239	0.7439910	0.6998474	0.9637533	0.9074613	0.5854562	0.5697876	0.8916280	0.7888900	0.8002454	0.9447273	1.2807619	0.9376146	0.8416162	1.2183673	1.0044324	0.7037147	1.0147666	0.8004199	0.6609641	0.9892556	0.8264905	1.0218853	1.0228478	0.9041122	1.2718110	0.7219922	0.7305792	0.9505539	1.0560905	0.9284113	
0.1094030	0.0681631	0.0465082	0.2726941	0.0751260	0.1001689	0.0632751	0.0233574	0.0835572	0.1892294	0.2587663	0.0716171	0.0365669	0.1978999	0.1575235	0.1014015	0.2772723	0.0613131	0.0323623	0.3107484	0.0771848	0.0379468	0.0168590	0.2441283	0.2715167	0.2444477	0.0369432	0.0746791	0.0451994	0.0887251	0.1130121	0.1004438	0.0581080	0.0358666	0.1163853	0.0549559	0.0815856	0.1662102	0.1956774	0.0650613	
1.0040551	1.3778956	1.0145144	1.0939387	1.0925627	0.9249984	0.7468763	1.0580712	1.2036493	1.0927661	0.7629324	1.3189208	1.0700949	1.1677024	1.2768487	0.9467054	0.8220320	0.6653379	0.7875934	1.4665741	0.9505059	0.5063476	0.9302208	1.2110740	1.0521989	0.9574505	0.9544641	1.2395555	1.0009114	1.0271000	0.8364600	0.9514355	1.1360057	0.9284709	1.1559874	1.0271605	0.9127942	0.8227223	0.9251907	1.0842128	
1.5564149	2.1950451	1.3773910	1.8395747	1.5062261	1.1395280	1.8781790	1.6374872	1.5158919	1.5291458	2.1573037	1.6232220	1.4297397	1.7073734	2.3575600	1.4053500	1.8170134	1.5598759	1.6225355	2.1590059	1.8567597	1.9144271	1.5595068	1.3573660	1.6337675	1.2648226	1.9022527	2.7365135	1.8152740	1.8970814	2.0967226	1.1231049	1.7330384	1.8511279	1.3634365	1.2915924	1.9412563	1.3180393	2.3501372	1.6774829	
0.6225340	0.8123245	0.3641784	0.5929482	0.5808659	0.5196737	0.7608518	0.8583375	0.8926715	1.1129232	0.4001404	0.8428828	0.5245142	0.7841108	0.9243755	0.8055930	0.9960574	0.4027923	0.7192854	0.3050942	0.5204097	0.5853805	0.4568268	0.5476839	0.5783462	0.5370379	0.8020131	0.7359373	0.9570581	0.2864564	0.5780595	0.3975360	0.7083199	0.4231225	0.7982021	0.4751095	0.9695628	0.9651160	0.5011582	0.4854874	
1.1001591	1.3634913	0.7700818	1.0749288	1.5545963	0.7510441	0.9319199	1.4697029	0.8755713	0.8730931	1.7438298	1.1021990	0.7331923	1.2511394	1.1696452	0.7447515	1.2163434	1.0971127	0.8433208	0.7511905	0.7562183	1.4495980	0.8428222	0.7356371	0.9950198	1.2222642	0.7401411	1.2599142	0.9166494	0.8096003	0.7453691	0.7989376	0.5131546	0.8387928	0.7141962	1.1224315	0.9272313	1.2174476	1.3475344	0.6354111	
0.0027586	0.1968123	0.1161442	0.0254382	0.0119132	0.7558040	0.0646184	1.1109367	0.1251240	0.9745024	0.1421765	0.1578582	0.0218764	0.0845069	0.3345690	0.2116297	0.0337709	0.0429629	0.6653762	0.3225979	0.0033219	0.0539913	0.1019684	0.1877653	0.0897173	1.2611115	0.0069589	0.0527843	0.4820703	0.0488000	0.1941503	0.5462038	0.0234621	0.4618011	0.3186402	0.0657587	0.2889270	0.4039422	0.9243184	0.7695169	
1.0340304	0.9720520	0.7458461	0.7297433	0.7930845	0.5706767	0.6295668	0.4561977	0.6340659	0.5313213	0.4220712	0.8702910	0.8906487	0.7648583	0.8574678	0.6134353	0.6575449	0.7906214	0.9354152	0.7354745	0.8563979	0.8405831	0.9826021	1.5240542	0.7151546	0.7109540	0.9496104	0.6775076	1.2391218	1.0459310	0.7370549	1.1523666	0.7043190	0.4658600	0.9683605	1.2339850	0.7913333	0.7776277	1.0277242	0.5539654	
0.6398808	1.8242455	0.7121294	1.3615623	0.2606088	2.0629161	0.3277795	1.2347572	0.4150878	1.5362121	1.4920170	0.9592688	0.5165255	0.6791382	1.2434049	0.6672761	1.8851190	0.2278789	0.0823854	1.0027124	0.2625141	0.2150756	0.7253248	2.0362306	1.1859720	0.4278365	0.7857053	1.5214302	0.3498799	0.7748070	0.3568456	0.7738073	0.0847408	0.9264251	1.1658895	1.2237821	1.4941827	0.3826582	1.0568896	0.5414786	
0.1800168	0.4109727	0.2401701	0.2096750	0.1615648	0.1171024	0.2069703	0.3010628	0.1845345	0.0779583	0.2668657	0.2344418	0.1310048	0.2530184	0.2143347	0.3954913	0.1047691	0.2744288	0.1081321	0.2183704	0.2482191	0.1945643	0.1409389	0.1636664	0.1802237	0.2801100	0.0952352	0.2179561	0.1843184	0.3096851	0.1286303	0.3439336	0.0477524	0.1993879	0.1558214	0.2264588	0.1382167	0.1789089	0.4045644	0.2364674	
